user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
1012	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
1014	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
1018	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp000436835	GCA_000436835.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp000436835	97.67	0.945	GCA_000436835.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp000436835	97.67	0.945	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_945874765.1, s__Eubacterium_R sp945874765, 95.0, 88.87, 0.74; GCA_000434995.1, s__Eubacterium_R sp000434995, 95.0, 84.02, 0.4; GCA_963661525.1, s__Eubacterium_R sp963661525, 95.0, 83.84, 0.277; GCA_900540235.1, s__Eubacterium_R sp900540235, 95.0, 82.65, 0.299; GCA_963657005.1, s__Eubacterium_R sp963657005, 95.0, 82.06, 0.302	88.98	11	N/A	N/A
1020	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__UBA11524;s__UBA11524 sp000437595	GCA_000437595.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__UBA11524;s__UBA11524 sp000437595	97.35	0.906	GCA_000437595.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__UBA11524;s__UBA11524 sp000437595	97.35	0.906	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__UBA11524;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	83.14	11	N/A	N/A
1024	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
102553	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (7.4%)
1028	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
10286	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
1029	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp900752285	GCA_938049025.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp900752285	99.98	0.937	GCA_938049025.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp900752285	99.98	0.937	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	86.89	11	N/A	N/A
102909	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (5.8%)
103	d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__CAG-533;s__CAG-533 sp000434495	GCA_900547775.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__CAG-533;s__CAG-533 sp000434495	97.31	0.94	GCA_900547775.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__CAG-533;s__CAG-533 sp000434495	97.31	0.94	d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__CAG-533;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_934098515.1, s__CAG-533 sp934098515, 95.0, 93.01, 0.874; GCA_934090735.1, s__CAG-533 sp934090735, 95.0, 86.21, 0.661; GCA_030525085.1, s__CAG-533 sp030525085, 95.0, 85.3, 0.57	57.01	11	N/A	Genome has more than 27.5% of markers with multiple hits
10311	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp900548625	GCA_900548625.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp900548625	98.23	0.694	GCA_900548625.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp900548625	98.23	0.694	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	36.7	11	N/A	Genome has more than 11.7% of markers with multiple hits
1032	d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__Onthocola_B;s__Onthocola_B sp000437355	GCA_000437355.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__Onthocola_B;s__Onthocola_B sp000437355	98.63	0.885	GCA_000437355.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__Onthocola_B;s__Onthocola_B sp000437355	98.63	0.885	d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__Onthocola_B;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_934096035.1, s__Onthocola_B sp934096035, 95.0, 88.01, 0.51; GCA_934096295.1, s__Onthocola_B sp934096295, 95.0, 87.83, 0.418; GCA_900544625.1, s__Onthocola_B sp900544625, 95.0, 87.59, 0.537; GCA_934085585.1, s__Onthocola_B sp934085585, 95.0, 85.23, 0.341; GCA_902797105.1, s__Onthocola_B sp902797105, 95.0, 83.95, 0.274; GCA_934101795.1, s__Onthocola_B sp934101795, 95.0, 83.52, 0.279; GCA_934085825.1, s__Onthocola_B sp934085825, 95.0, 82.96, 0.221; GCA_934101495.1, s__Onthocola_B sp934101495, 95.0, 82.89, 0.252; GCA_934096945.1, s__Onthocola_B sp934096945, 95.0, 82.83, 0.23; GCA_934095965.1, s__Onthocola_B sp934095965, 95.0, 82.79, 0.164; GCA_900551525.1, s__Onthocola_B sp900551525, 95.0, 82.61, 0.294; GCA_000438075.1, s__Onthocola_B sp000438075, 95.0, 82.39, 0.171	36.68	11	N/A	Genome has more than 48.3% of markers with multiple hits
10332	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia;s__Romboutsia timonensis	GCF_900106845.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia;s__Romboutsia timonensis	98.92	0.765	GCF_900106845.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia;s__Romboutsia timonensis	98.92	0.765	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_900015215.1, s__Romboutsia ilealis, 95.0, 92.77, 0.527; GCA_937880075.1, s__Romboutsia sp937880075, 95.0, 92.28, 0.49; GCF_904418825.1, s__Romboutsia sp904418825, 95.0, 90.66, 0.435; GCF_018336475.1, s__Romboutsia sp018336475, 95.0, 89.09, 0.348	23.51	11	N/A	N/A
1035	d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Catenibacterium;s__Catenibacterium mitsuokai_A	GCF_025148785.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Catenibacterium;s__Catenibacterium mitsuokai_A	96.64	0.677	GCF_025148785.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Catenibacterium;s__Catenibacterium mitsuokai_A	96.64	0.677	d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Catenibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_900540665.1, s__Catenibacterium sp900540665, 95.0, 93.85, 0.751; GCA_964259225.1, s__Catenibacterium mitsuokai, 95.0, 93.72, 0.691; GCF_900764565.1, s__Catenibacterium sp900764565, 95.0, 92.8, 0.731; GCF_900540685.1, s__Catenibacterium sp900540685, 95.0, 92.18, 0.714; GCA_900764725.1, s__Catenibacterium sp900764725, 95.0, 91.34, 0.498	49.01	11	N/A	Genome has more than 43.3% of markers with multiple hits
103693	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.8%)
103988	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (2.3%)
104	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.8%)
1041	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
1044	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus amylovorus	GCF_002706375.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus amylovorus	97.65	0.785	GCF_002706375.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus amylovorus	97.65	0.785	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000615285.1, s__Lactobacillus kitasatonis, 95.0, 92.83, 0.655; GCF_001434975.1, s__Lactobacillus gallinarum, 95.0, 88.57, 0.349; GCF_902491705.1, s__Lactobacillus sp902491705, 95.0, 88.44, 0.446; GCA_930989465.1, s__Lactobacillus sp930989465, 95.0, 87.4, 0.185; GCF_001436305.1, s__Lactobacillus ultunensis, 95.0, 86.05, 0.297; GCF_000160855.1, s__Lactobacillus helveticus, 95.0, 85.97, 0.221; GCF_034298135.1, s__Lactobacillus acidophilus, 95.0, 85.54, 0.28; GCF_018987235.1, s__Lactobacillus crispatus, 95.0, 84.98, 0.195; GCF_947367125.1, s__Lactobacillus sp947367125, 95.0, 84.9, 0.224; GCF_900103655.1, s__Lactobacillus kefiranofaciens, 95.0, 84.17, 0.191	80.96	11	N/A	N/A
1045	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
1046	d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Catenibacterium;s__Catenibacterium mitsuokai	GCA_964259225.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Catenibacterium;s__Catenibacterium mitsuokai	96.83	0.83	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Catenibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have incongruent species assignments	GCA_964259225.1, s__Catenibacterium mitsuokai, 95.0, 96.83, 0.83; GCA_900764725.1, s__Catenibacterium sp900764725, 95.0, 93.31, 0.563; GCF_025148785.1, s__Catenibacterium mitsuokai_A, 95.0, 93.18, 0.702; GCF_900764565.1, s__Catenibacterium sp900764565, 95.0, 92.69, 0.741; GCF_900540665.1, s__Catenibacterium sp900540665, 95.0, 91.97, 0.838; GCF_900540685.1, s__Catenibacterium sp900540685, 95.0, 91.56, 0.807	17.36	11	N/A	Genome has more than 80.0% of markers with multiple hits
1047	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
10473	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
105	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Suilimivivens;s__Suilimivivens sp000438155	GCA_000438155.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Suilimivivens;s__Suilimivivens sp000438155	98.0	0.886	GCA_000438155.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Suilimivivens;s__Suilimivivens sp000438155	98.0	0.886	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Suilimivivens;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900553305.1, s__Suilimivivens sp900553305, 95.0, 92.23, 0.712; GCA_021628825.1, s__Suilimivivens sp021628825, 95.0, 91.48, 0.715; GCA_963638365.1, s__Suilimivivens sp963638365, 95.0, 87.03, 0.592; GCA_963618065.1, s__Suilimivivens sp963618065, 95.0, 86.28, 0.543; GCA_963650485.1, s__Suilimivivens sp963650485, 95.0, 86.0, 0.51	37.23	11	N/A	Genome has more than 62.5% of markers with multiple hits
10518	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
1053	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
105340	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__	N/A	N/A	N/A	N/A	N/A	GCA_000436835.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp000436835	98.99	0.377	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_000434995.1, s__Eubacterium_R sp000434995, 95.0, 91.29, 0.213; GCA_945874765.1, s__Eubacterium_R sp945874765, 95.0, 90.55, 0.319; GCA_963661525.1, s__Eubacterium_R sp963661525, 95.0, 89.1, 0.159; GCA_963657005.1, s__Eubacterium_R sp963657005, 95.0, 88.9, 0.22; GCA_900540235.1, s__Eubacterium_R sp900540235, 95.0, 88.36, 0.171	14.42	11	1.0	Genome has more than 10.0% of markers with multiple hits;Genome domain questionable ( 15.0% Bacterial, 5.7% Archaeal)
105452	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium duncaniae	GCF_010509575.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium duncaniae	97.72	0.947	GCF_010509575.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium duncaniae	97.72	0.947	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_937915335.1, s__Faecalibacterium sp937915335, 95.0, 89.39, 0.495; GCA_963612415.1, s__Faecalibacterium sp963612415, 95.0, 87.96, 0.334; GCA_934526125.1, s__Faecalibacterium sp934526125, 95.0, 87.74, 0.383; GCA_934547065.1, s__Faecalibacterium sp934547065, 95.0, 86.97, 0.27; GCF_003287455.1, s__Faecalibacterium hattorii, 95.0, 86.56, 0.283; GCF_019967995.1, s__Faecalibacterium prausnitzii_E, 95.0, 86.33, 0.287; GCF_023347275.1, s__Faecalibacterium butyricigenerans, 95.0, 85.94, 0.156; GCF_003287495.1, s__Faecalibacterium prausnitzii_I, 95.0, 85.93, 0.199; GCF_023347295.1, s__Faecalibacterium sp003449675, 95.0, 85.77, 0.157; GCA_014858325.1, s__Faecalibacterium sp014858325, 95.0, 85.53, 0.177; GCA_934514285.1, s__Faecalibacterium sp934514285, 95.0, 85.51, 0.193; GCA_025757845.1, s__Faecalibacterium sp900539945, 95.0, 85.49, 0.214; GCF_020687245.1, s__Faecalibacterium longum, 95.36, 85.38, 0.176; GCA_934525845.1, s__Faecalibacterium sp934525845, 95.0, 85.26, 0.155; GCA_963646665.1, s__Faecalibacterium sp963646665, 95.0, 85.23, 0.16; GCF_002549775.1, s__Faecalibacterium prausnitzii_F, 95.0, 85.13, 0.163; GCA_934524985.1, s__Faecalibacterium sp934524985, 95.0, 85.11, 0.158; GCA_900551435.1, s__Faecalibacterium sp900551435, 95.0, 85.07, 0.213; GCA_963660925.1, s__Faecalibacterium sp963660925, 95.0, 84.74, 0.157	19.42	11	N/A	N/A
106	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter torques	GCF_000153925.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter torques	99.62	0.968	GCF_000153925.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter torques	99.62	0.968	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_905209865.1, s__Mediterraneibacter sp900752395, 95.0, 82.5, 0.494	23.17	11	N/A	Genome has more than 76.7% of markers with multiple hits
1062	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
10658	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
106796	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
