user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
1017	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella sp001701225	GCA_001701225.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella sp001701225	99.09	0.84	GCA_001701225.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella sp001701225	99.09	0.84	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_001689495.1, s__Duncaniella sp001689495, 95.0, 84.43, 0.428	39.81	11	N/A	N/A
1018	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (6.3%)
1019	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (5.4%)
102	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp959021215	GCA_959021215.1	95.18	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp959021215	95.95	0.888	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have incongruent species assignments	GCA_959021215.1, s__Collinsella sp959021215, 95.18, 95.95, 0.888; GCA_018367075.1, s__Collinsella sp018367075, 95.49, 95.94, 0.895; GCA_902494135.1, s__Collinsella sp902494135, 95.0, 95.91, 0.946; GCA_958421035.1, s__Collinsella sp958421035, 95.0, 95.87, 0.87; GCA_934865005.1, s__Collinsella sp934865005, 95.26, 95.86, 0.894; GCA_037277825.1, s__Collinsella sp037277825, 95.42, 95.8, 0.881; GCA_905215005.1, s__Collinsella sp905215005, 95.18, 95.79, 0.845; GCA_036301285.1, s__Collinsella aerofaciens_BS, 95.07, 95.78, 0.922; GCF_027679495.1, s__Collinsella aerofaciens_AK, 95.03, 95.73, 0.818; GCA_902496335.1, s__Collinsella sp902496335, 95.34, 95.68, 0.862; GCA_902495985.1, s__Collinsella sp902495985, 95.09, 95.66, 0.88; GCF_040920445.1, s__Collinsella aerofaciens_BH, 95.02, 95.57, 0.843; GCA_905215835.1, s__Collinsella sp905215835, 95.18, 95.55, 0.886; GCA_958438125.1, s__Collinsella sp958438125, 95.0, 95.55, 0.873; GCA_900754385.1, s__Collinsella sp900754385, 95.0, 95.55, 0.842; GCA_958429225.1, s__Collinsella sp958429225, 95.0, 95.54, 0.888; GCA_902470905.1, s__Collinsella sp902470905, 95.0, 95.53, 0.879; GCA_900554495.1, s__Collinsella sp900554495, 95.0, 95.5, 0.86; GCA_902468085.1, s__Collinsella sp902468085, 95.05, 95.4, 0.875; GCA_902464575.1, s__Collinsella sp902464575, 95.0, 95.39, 0.888; GCA_902494535.1, s__Collinsella sp902494535, 95.0, 95.39, 0.87; GCA_902493535.1, s__Collinsella sp902493535, 95.0, 95.39, 0.848; GCA_947001545.1, s__Collinsella sp947001545, 95.11, 95.38, 0.89; GCA_902495525.1, s__Collinsella sp902495525, 95.0, 95.32, 0.853; GCA_905204365.1, s__Collinsella sp905204365, 95.06, 95.32, 0.842; GCA_938033385.1, s__Collinsella sp938033385, 95.1, 95.32, 0.767; GCA_900548565.1, s__Collinsella sp900548565, 95.0, 95.31, 0.869; GCA_900544465.1, s__Collinsella sp900544465, 95.0, 95.3, 0.84; GCA_019413955.1, s__Collinsella sp019413955, 95.0, 95.29, 0.856; GCA_902489965.1, s__Collinsella sp902489965, 95.0, 95.28, 0.888; GCA_958413895.1, s__Collinsella sp958413895, 95.11, 95.26, 0.885; GCA_900541135.1, s__Collinsella sp900541135, 95.0, 95.26, 0.869; GCA_902491615.1, s__Collinsella sp902491615, 95.07, 95.26, 0.837; GCA_900547505.1, s__Collinsella sp900547505, 95.0, 95.23, 0.855; GCA_902478875.1, s__Collinsella sp902478875, 95.0, 95.23, 0.817; GCF_028209885.1, s__Collinsella aerofaciens_BA, 95.23, 95.22, 0.799; GCA_905210085.1, s__Collinsella sp905210085, 95.0, 95.21, 0.875; GCA_900549215.1, s__Collinsella sp900549215, 95.03, 95.18, 0.843; GCA_036312985.1, s__Collinsella sp036312985, 95.22, 95.17, 0.845; GCA_031294825.1, s__Collinsella sp031294825, 95.0, 95.16, 0.874; GCA_902493515.1, s__Collinsella sp902493515, 95.11, 95.15, 0.878; GCA_036312785.1, s__Collinsella sp036312785, 95.14, 95.15, 0.869; GCA_902491765.1, s__Collinsella sp902491765, 95.13, 95.15, 0.868; GCA_014871655.1, s__Collinsella sp014871655, 95.0, 95.15, 0.867; GCF_018785245.1, s__Collinsella aerofaciens_AD, 95.01, 95.15, 0.858; GCA_008671135.1, s__Collinsella aerofaciens_J, 95.0, 95.15, 0.854; GCA_958427145.1, s__Collinsella sp958427145, 95.0, 95.15, 0.838; GCA_905212545.1, s__Collinsella sp905212545, 95.14, 95.15, 0.826; GCA_938005465.1, s__Collinsella sp938005465, 95.0, 95.15, 0.8; GCA_959028445.1, s__Collinsella sp959028445, 95.0, 95.14, 0.873; GCA_902464565.1, s__Collinsella sp902464565, 95.0, 95.14, 0.859; GCA_900758885.1, s__Collinsella sp900758885, 95.0, 95.14, 0.823; GCA_008668235.1, s__Collinsella aerofaciens_K, 95.0, 95.1, 0.881; GCF_040915545.1, s__Collinsella aerofaciens_BE, 95.13, 95.1, 0.829; GCA_036550475.1, s__Collinsella sp036550475, 95.29, 95.09, 0.822; GCA_900542555.1, s__Collinsella sp900542555, 95.0, 95.06, 0.854; GCF_039752985.1, s__Collinsella aerofaciens_BT, 95.0, 95.06, 0.843; GCA_018376265.1, s__Collinsella sp018376265, 95.01, 95.03, 0.826; GCF_015555045.1, s__Collinsella aerofaciens_W, 95.0, 95.03, 0.784; GCA_900761085.1, s__Collinsella sp900761085, 95.0, 94.99, 0.855; GCF_902501475.1, s__Collinsella aerofaciens_AL, 95.17, 94.99, 0.804; GCF_040910325.1, s__Collinsella aerofaciens_BL, 95.12, 94.99, 0.792; GCA_019414325.1, s__Collinsella sp019414325, 95.0, 94.98, 0.869; GCA_905211535.1, s__Collinsella sp905211535, 95.0, 94.98, 0.851; GCF_039758915.1, s__Collinsella sp900552155, 95.02, 94.98, 0.85; GCA_900545615.1, s__Collinsella sp900545615, 95.0, 94.97, 0.84; GCA_900759335.1, s__Collinsella sp900759335, 95.0, 94.97, 0.817; GCA_037320555.1, s__Collinsella sp037320555, 95.0, 94.96, 0.877; GCA_900762015.1, s__Collinsella sp900762015, 95.0, 94.92, 0.879; GCA_900541725.1, s__Collinsella sp900541725, 95.0, 94.92, 0.873; GCA_900540985.1, s__Collinsella sp900540985, 95.0, 94.92, 0.866; GCA_959599095.1, s__Collinsella sp959599095, 95.0, 94.9, 0.865; GCA_900552385.1, s__Collinsella sp900552385, 95.03, 94.89, 0.832; GCA_958349325.1, s__Collinsella sp958349325, 95.0, 94.88, 0.847; GCA_937997605.1, s__Collinsella sp937997605, 95.2, 94.87, 0.793; GCA_902493855.1, s__Collinsella sp902493855, 95.0, 94.79, 0.848; GCA_900541035.1, s__Collinsella sp900541035, 95.0, 94.79, 0.848; GCF_015560135.1, s__Collinsella aerofaciens_AN, 95.32, 94.75, 0.835; GCA_902489945.1, s__Collinsella sp902489945, 95.0, 94.71, 0.844; GCA_036298675.1, s__Collinsella sp036298675, 95.0, 94.7, 0.859; GCA_900761805.1, s__Collinsella sp900761805, 95.1, 94.69, 0.856; GCA_958432255.1, s__Collinsella sp958432255, 95.34, 94.69, 0.777; GCA_934675795.1, s__Collinsella sp934675795, 95.0, 94.63, 0.886; GCA_900766165.1, s__Collinsella sp900766165, 95.0, 94.59, 0.84; GCA_902475445.1, s__Collinsella sp902475445, 95.0, 94.52, 0.843; GCA_905216145.1, s__Collinsella sp905216145, 95.0, 94.48, 0.831; GCA_900540905.1, s__Collinsella sp900540905, 95.0, 94.47, 0.84; GCA_959019945.1, s__Collinsella sp959019945, 95.0, 94.47, 0.825; GCA_018378775.1, s__Collinsella sp018378775, 95.0, 94.47, 0.775; GCA_900554645.1, s__Collinsella sp900554645, 95.0, 94.46, 0.825; GCA_902489855.1, s__Collinsella sp902489855, 95.0, 94.33, 0.823; GCA_902470835.1, s__Collinsella sp902470835, 95.0, 94.24, 0.828; GCF_039758815.1, s__Collinsella aerofaciens_BP, 95.0, 94.24, 0.796; GCF_003462685.1, s__Collinsella sp003462685, 95.0, 94.23, 0.809; GCF_040092335.1, s__Collinsella sp040092335, 95.22, 94.16, 0.886; GCA_928722055.1, s__Collinsella sp928722055, 95.18, 93.96, 0.843; GCA_958421275.1, s__Collinsella sp958421275, 95.1, 93.88, 0.897; GCA_900541235.1, s__Collinsella sp900541235, 95.0, 93.75, 0.897; GCA_934654515.1, s__Collinsella sp934654515, 95.0, 93.09, 0.83; GCA_019419505.1, s__Collinsella sp019419505, 95.0, 93.03, 0.901	14.95	11	N/A	Genome has more than 80.0% of markers with multiple hits
1020	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (5.8%)
1021	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__	N/A	N/A	N/A	N/A	N/A	GCF_000020225.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila	97.05	0.351	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_905200945.1, s__Akkermansia sp905200945, 95.0, 93.31, 0.346; GCF_030848305.1, s__Akkermansia muciniphila_A, 95.0, 92.39, 0.312; GCF_023516715.1, s__Akkermansia massiliensis, 95.02, 86.42, 0.261; GCA_947624785.1, s__Akkermansia muciniphila_F, 95.0, 85.76, 0.252; GCF_002884975.1, s__Akkermansia muciniphila_C, 95.0, 84.19, 0.213; GCF_040616545.1, s__Akkermansia muciniphila_E, 95.0, 83.56, 0.205; GCF_020860705.1, s__Akkermansia sp020860705, 95.0, 82.65, 0.182	21.19	11	0.99611	Genome has more than 10.0% of markers with multiple hits
1023	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (4.1%)
1024	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (4.7%)
1026	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (2.3%)
1027	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
1028	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
1029	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-488;s__CAG-488 sp900539465	GCA_900539465.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-488;s__CAG-488 sp900539465	99.02	0.505	GCA_900539465.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-488;s__CAG-488 sp900539465	99.02	0.505	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-488;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	11.1	11	N/A	N/A
103	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__	N/A	N/A	N/A	N/A	N/A	GCF_020554845.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A faecis	97.66	0.198	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	13.17	11	0.99615	N/A
1030	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (6.7%)
1031	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Huintestinicola;s__Huintestinicola butyrica	GCF_025567215.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Huintestinicola;s__Huintestinicola butyrica	96.41	0.508	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Huintestinicola;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have incongruent species assignments	GCF_025567215.1, s__Huintestinicola butyrica, 95.0, 96.41, 0.508; GCA_900768995.1, s__Huintestinicola sp900768995, 95.0, 91.11, 0.449; GCA_945867875.1, s__Huintestinicola sp945867875, 95.04, 90.92, 0.467; GCA_934486875.1, s__Huintestinicola sp934486875, 95.0, 88.05, 0.383; GCA_028720105.1, s__Huintestinicola sp028720105, 95.0, 83.35, 0.159; GCA_017829005.1, s__Huintestinicola sp017829005, 95.0, 83.2, 0.187	12.31	11	N/A	N/A
1032	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_020687435.1, s__Blautia_A fusiformis, 96.97, 95.95, 0.54; GCF_902167715.1, s__Blautia_A luti_A, 96.82, 94.46, 0.52; GCF_005848555.1, s__Blautia_A sp005848555, 96.6, 94.24, 0.514; GCA_958454115.1, s__Blautia_A wexlerae_C, 95.0, 93.38, 0.307; GCA_003461955.1, s__Blautia_A sp900066335, 95.0, 91.42, 0.45; GCF_013304735.1, s__Blautia_A sp900066205, 95.0, 91.36, 0.469; GCF_013304825.1, s__Blautia_A schinkii_B, 95.51, 89.43, 0.388; GCF_040096615.1, s__Blautia_A aquisgranensis, 95.0, 89.24, 0.366; GCA_003474435.1, s__Blautia_A sp003474435, 95.0, 88.78, 0.402; GCA_963616205.1, s__Blautia_A sp963616205, 95.0, 88.06, 0.309; GCA_963598855.1, s__Blautia_A sp963598855, 95.0, 87.62, 0.336; GCF_020554845.1, s__Blautia_A faecis, 95.0, 87.04, 0.179; GCF_934373235.1, s__Blautia_A sp934373235, 95.0, 86.46, 0.215; GCA_963642325.1, s__Blautia_A sp963642325, 95.0, 85.55, 0.32	16.36	11	0.99724	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
